location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240204T0200,5.3902454
20240204T0300,5.3502455
20240204T0400,5.4102454
20240204T0500,5.3302455
20240204T0600,5.2202454
20240204T0700,5.1602454
20240204T0800,5.6002455
20240204T0900,6.480245
20240204T1000,7.250245
20240204T1100,8.080246
20240204T1200,8.830245
20240204T1300,9.330245
20240204T1400,9.390245
20240204T1500,9.180245
20240204T1600,8.420245
20240204T1700,7.130245
20240204T1800,6.670245
20240204T1900,6.3502455
20240204T2000,6.1402454
20240204T2100,5.7402453
20240204T2200,5.8002453
20240204T2300,5.7002454
20240205T0000,5.6202455
20240205T0100,5.5302453
20240205T0200,5.4702454
20240205T0300,5.2202454
20240205T0400,5.040245
20240205T0500,4.6402454
20240205T0600,4.5902452
20240205T0700,4.4102454
20240205T0800,5.1002455
20240205T0900,5.960245
20240205T1000,7.040245
20240205T1100,8.170245
20240205T1200,9.0602455
20240205T1300,9.970245
20240205T1400,10.450245
20240205T1500,10.420245
20240205T1600,8.5602455
20240205T1700,6.130245
20240205T1800,5.1402454
20240205T1900,4.690245
20240205T2000,4.0602455
20240205T2100,3.5902452
20240205T2200,3.2402453
20240205T2300,3.1602454
20240206T0000,3.0702453
20240206T0100,2.8602452
20240206T0200,2.6302452
20240206T0300,2.4702454
20240206T0400,2.5202456
20240206T0500,2.7802453
20240206T0600,2.7902455
20240206T0700,2.8202453
20240206T0800,4.0602455
20240206T0900,5.1602454
20240206T1000,6.2802453
20240206T1100,7.1402454
20240206T1200,7.860245
20240206T1300,8.260245
20240206T1400,8.370246
20240206T1500,8.170245
20240206T1600,7.690245
20240206T1700,6.7602453
20240206T1800,6.750245
20240206T1900,6.7402453
20240206T2000,6.8302455
20240206T2100,6.8002453
20240206T2200,6.630245
20240206T2300,6.8102455
20240207T0000,6.8302455
20240207T0100,6.6002455
20240207T0200,6.7002454
20240207T0300,6.7802453
20240207T0400,6.9102454
20240207T0500,7.3502455
20240207T0600,7.7202454
20240207T0700,7.960245
20240207T0800,8.290245
20240207T0900,8.740245
20240207T1000,9.460245
20240207T1100,9.910245
20240207T1200,10.420245
20240207T1300,11.0602455
20240207T1400,11.280245
20240207T1500,11.470245
20240207T1600,10.990245
20240207T1700,10.290245
20240207T1800,9.720245
20240207T1900,9.170245
20240207T2000,9.270246
20240207T2100,9.300245
20240207T2200,9.370245
20240207T2300,9.380245
20240208T0000,9.610246
20240208T0100,9.620245
20240208T0200,9.8102455
20240208T0300,9.910245
20240208T0400,10.050245
20240208T0500,10.130245
20240208T0600,10.220245
20240208T0700,10.320246
20240208T0800,10.620245
20240208T0900,10.910245
20240208T1000,11.210245
20240208T1100,12.030245
20240208T1200,12.650246
20240208T1300,13.210245
20240208T1400,13.710245
20240208T1500,13.8102455
20240208T1600,12.340245
20240208T1700,10.870245
20240208T1800,10.030245
20240208T1900,10.000245
20240208T2000,9.850245
20240208T2100,9.980246
20240208T2200,10.280245
20240208T2300,10.080245
20240209T0000,9.900246
20240209T0100,9.740245
20240209T0200,10.050245
20240209T0300,10.400246
20240209T0400,10.510245
20240209T0500,10.510245
20240209T0600,10.450245
20240209T0700,10.470245
20240209T0800,10.800245
20240209T0900,11.300245
20240209T1000,11.980246
20240209T1100,12.550245
20240209T1200,13.070246
20240209T1300,13.120245
20240209T1400,12.330245
20240209T1500,11.530245
20240209T1600,10.800245
20240209T1700,10.090245
20240209T1800,9.580245
20240209T1900,9.230246
20240209T2000,8.950245
20240209T2100,8.680245
20240209T2200,8.700245
20240209T2300,8.700245
20240210T0000,8.790245
20240210T0100,8.730246
20240210T0200,8.290245
20240210T0300,8.250245
20240210T0400,8.050245
20240210T0500,7.8202453
20240210T0600,7.7002454
20240210T0700,7.710245
20240210T0800,7.940245
20240210T0900,8.400246
